,carat,cut,color,depth,table,price,x,y,z
48,1.35,Ideal,D,61.3,57.0,10602,7.09,7.13,4.36
49,1.52,Ideal,G,60.7,57.0,9704,7.41,7.38,4.49
50,0.91,Fair,J,66.3,56.0,2390,5.92,5.99,3.95
51,1.56,Ideal,I,61.4,56.0,8858,7.47,7.42,4.57
52,0.53,Ideal,D,62.2,56.0,1809,5.17,5.18,3.22
53,0.51,Ideal,D,61.0,56.0,1431,5.15,5.17,3.15
54,0.3,Ideal,F,62.7,57.0,776,4.31,4.27,2.69
55,1.2,Ideal,G,62.2,57.0,9009,6.77,6.81,4.22
56,1.61,Good,H,63.8,62.0,9169,7.38,7.35,4.7
57,0.5,Ideal,E,61.4,57.0,1240,5.14,5.09,3.14
58,0.42,Premium,D,61.5,58.0,970,4.83,4.8,2.96
59,0.52,Ideal,G,61.2,56.0,1803,5.19,5.23,3.19
60,0.3,Premium,E,62.0,60.0,844,4.26,4.23,2.63
61,0.23,Very Good,E,62.0,58.0,492,3.92,3.95,2.44
62,0.41,Ideal,F,61.3,54.0,1196,4.79,4.84,2.95
63,0.24,Good,F,58.3,61.0,373,4.09,4.14,2.4
64,0.53,Premium,F,62.1,58.0,1636,5.21,5.16,3.22
65,0.56,Premium,G,59.9,60.0,2013,5.41,5.37,3.23
66,0.51,Ideal,G,61.6,56.0,1827,5.12,5.14,3.16
67,1.52,Ideal,J,62.6,58.0,9541,7.32,7.34,4.59
68,0.32,Ideal,G,61.6,57.0,828,4.42,4.38,2.71
69,0.59,Ideal,F,60.6,56.0,1834,5.43,5.48,3.31
70,0.72,Premium,G,60.8,58.0,2318,5.8,5.74,3.51
71,1.33,Premium,H,61.0,59.0,5437,7.1,7.06,4.32
72,0.9,Good,J,63.2,60.0,2729,6.09,6.12,3.86
73,0.55,Very Good,I,61.0,57.0,1224,5.31,5.32,3.24
74,0.56,Ideal,D,60.0,58.0,1568,5.42,5.38,3.24
75,1.0,Good,E,62.4,59.0,4936,6.35,6.4,3.98
76,0.3,Fair,E,64.5,56.0,799,4.26,4.2,2.73
77,0.51,Very Good,G,62.4,57.0,1438,5.09,5.11,3.18
78,0.9,Very Good,H,60.8,58.0,3890,6.18,6.22,3.77
79,2.12,Ideal,D,62.9,55.0,12707,8.17,8.14,5.13
80,0.36,Premium,D,61.5,59.0,663,4.52,4.55,2.79
81,1.52,Premium,E,60.8,60.0,9028,7.36,7.42,4.49
82,1.01,Ideal,F,62.5,55.0,4497,6.4,6.39,4.0
83,1.0,Fair,H,69.5,55.0,2875,6.17,6.1,4.26
84,1.09,Ideal,E,59.4,57.0,3760,6.74,6.65,3.98
85,0.26,Very Good,E,61.5,58.0,597,4.08,4.12,2.52
86,0.33,Good,F,61.8,62.0,536,4.4,4.45,2.74
87,1.02,Premium,H,61.1,58.0,5084,6.51,6.46,3.96
88,0.33,Premium,E,59.7,58.0,594,4.53,4.48,2.69
89,0.41,Good,F,63.9,56.0,755,4.68,4.74,3.01
90,1.05,Very Good,J,60.9,60.0,3395,6.51,6.59,3.99
91,0.26,Very Good,G,61.8,57.0,545,4.06,4.1,2.52
92,0.7,Very Good,H,63.3,59.0,2484,5.62,5.66,3.57
93,0.32,Very Good,F,63.3,57.0,773,4.38,4.34,2.76
94,0.8,Very Good,F,61.0,60.0,2460,5.95,5.98,3.64
95,1.11,Ideal,D,62.0,57.0,7602,6.62,6.67,4.12
96,1.72,Premium,J,62.0,56.0,6857,7.76,7.7,4.79
97,0.54,Ideal,E,61.9,57.0,1754,5.2,5.23,3.23
98,0.9,Premium,J,62.3,56.0,3175,6.23,6.19,3.87
99,0.27,Ideal,D,60.2,57.0,470,4.19,4.21,2.53
100,1.04,Very Good,G,62.8,54.0,7481,6.39,6.5,4.05
101,1.06,Very Good,G,63.4,61.0,4057,6.46,6.37,4.07
102,0.42,Ideal,F,62.0,55.0,1326,4.81,4.84,2.99
103,1.5,Good,G,63.7,59.0,10428,7.19,7.23,4.59
104,1.01,Very Good,F,63.3,57.0,6533,6.41,6.33,4.03
105,0.25,Very Good,E,60.2,59.0,575,4.07,4.14,2.47
106,0.7,Ideal,F,60.7,57.0,2833,5.73,5.75,3.49
107,1.02,Very Good,F,59.4,58.0,6479,6.52,6.62,3.9
108,0.73,Ideal,H,62.9,56.0,2269,5.79,5.75,3.63
109,1.12,Very Good,I,63.9,52.0,4914,6.58,6.65,4.23
110,0.61,Ideal,F,61.7,55.0,2833,5.45,5.48,3.37
111,0.32,Premium,D,62.0,60.0,910,4.37,4.4,2.72
112,0.76,Very Good,F,62.7,55.0,2469,5.74,5.83,3.63
113,0.23,Ideal,F,61.4,55.0,548,3.96,3.99,2.44
114,1.7,Ideal,J,62.0,53.0,7464,7.68,7.65,4.75
115,1.01,Very Good,E,62.8,57.0,4355,6.35,6.38,4.0
116,0.71,Ideal,I,60.4,57.0,3007,5.78,5.81,3.5
117,0.7,Ideal,H,61.2,57.0,2947,5.69,5.72,3.49
118,0.83,Ideal,F,62.0,55.0,3774,6.03,6.07,3.75
119,0.31,Ideal,G,62.5,54.0,816,4.33,4.37,2.72
120,1.01,Premium,G,62.6,60.0,4338,6.39,6.35,3.99
121,1.75,Good,D,63.8,57.0,12918,7.63,7.53,4.84
122,0.57,Ideal,E,62.1,56.0,1608,5.3,5.33,3.3
123,0.33,Good,H,63.5,57.0,416,4.36,4.39,2.78
124,1.0,Very Good,E,59.6,62.0,4685,6.45,6.51,3.86
125,0.4,Good,D,63.1,61.0,720,4.67,4.71,2.96
126,0.25,Premium,E,62.5,59.0,576,4.02,4.05,2.52
127,0.72,Premium,F,61.5,58.0,2646,5.73,5.69,3.51
128,0.71,Premium,F,62.6,59.0,2072,5.64,5.6,3.52
129,0.32,Ideal,D,60.8,57.0,756,4.44,4.41,2.69
130,0.7,Fair,F,64.9,59.0,3039,5.56,5.59,3.62
131,1.54,Ideal,G,61.5,55.0,11333,7.4,7.45,4.57
132,1.02,Ideal,D,62.3,56.0,5266,6.49,6.45,4.03
133,0.5,Good,F,63.1,61.0,1043,5.06,4.98,3.17
134,1.27,Premium,H,60.2,58.0,6892,7.04,6.99,4.22
135,2.06,Premium,F,58.7,61.0,9967,8.33,8.31,4.88
136,0.31,Ideal,G,60.8,56.0,816,4.36,4.39,2.66
137,1.01,Premium,E,59.1,60.0,4412,6.57,6.55,3.88
138,0.9,Very Good,D,58.9,59.0,5195,6.22,6.31,3.69
139,1.05,Ideal,G,61.1,57.0,5504,6.55,6.52,3.99
140,1.01,Premium,F,60.4,59.0,9065,6.45,6.49,3.91
141,0.56,Good,F,63.2,56.0,1340,5.24,5.29,3.33
142,1.08,Very Good,G,62.0,57.0,6168,6.52,6.55,4.05
143,0.42,Very Good,F,63.1,56.0,717,4.77,4.8,3.02
144,1.25,Ideal,G,60.2,54.0,11511,6.99,7.03,4.22
145,1.51,Very Good,J,60.2,59.0,7418,7.35,7.36,4.43
146,0.24,Very Good,D,61.4,60.0,373,3.98,4.0,2.45
147,0.41,Premium,E,61.2,58.0,1057,4.74,4.8,2.92
148,0.65,Ideal,G,60.6,60.0,2242,5.58,5.61,3.39
149,0.32,Very Good,E,63.4,55.0,720,4.36,4.35,2.76
150,1.01,Ideal,G,61.5,57.0,3739,6.42,6.46,3.96
151,0.41,Good,D,63.2,57.0,738,4.73,4.77,3.0
152,0.71,Premium,G,60.3,58.0,2839,5.82,5.78,3.5
153,0.43,Ideal,G,61.5,56.0,1207,4.85,4.87,2.99
154,0.7,Premium,I,62.4,59.0,2394,5.64,5.55,3.49
155,1.5,Ideal,G,62.2,54.0,13154,7.39,7.34,4.58
156,1.29,Very Good,H,60.8,58.0,8629,7.01,7.04,4.27
157,0.3,Ideal,F,59.8,58.0,873,4.37,4.46,2.64
158,0.73,Ideal,D,60.9,55.0,3937,5.83,5.86,3.56
159,0.43,Ideal,E,62.0,57.0,1245,4.84,4.87,3.01
160,1.11,Ideal,F,60.9,57.0,8233,6.69,6.75,4.09
161,0.41,Ideal,F,61.7,56.0,1439,4.79,4.83,2.97
162,0.41,Very Good,D,62.8,58.0,779,4.73,4.76,2.98
163,0.91,Good,E,64.0,61.0,3973,6.01,6.06,3.86
164,0.31,Ideal,D,62.1,55.0,816,4.38,4.32,2.7
165,1.22,Very Good,D,59.0,58.0,6607,6.96,7.08,4.14
166,0.3,Ideal,E,62.8,56.0,844,4.32,4.28,2.7
167,0.3,Very Good,G,63.1,58.0,776,4.28,4.24,2.69
168,0.39,Very Good,J,63.1,56.0,790,4.7,4.62,2.94
169,0.43,Ideal,G,61.3,56.0,1318,4.86,4.9,2.99
170,0.61,Premium,F,63.0,60.0,2319,5.35,5.29,3.35
171,0.3,Good,F,63.7,59.0,752,4.17,4.24,2.68
172,0.5,Ideal,E,60.0,57.0,1624,5.12,5.15,3.08
173,1.16,Ideal,D,62.1,57.0,8185,6.73,6.7,4.17
174,1.03,Ideal,H,60.8,56.0,3634,6.56,6.47,3.96
175,0.43,Ideal,F,61.0,56.0,1358,4.87,4.9,2.98
176,1.02,Premium,D,61.5,56.0,4718,6.51,6.47,3.99
177,0.91,Premium,E,60.6,58.0,5101,6.32,6.25,3.81
178,0.4,Very Good,G,61.1,58.0,1033,4.73,4.76,2.9
179,0.53,Ideal,H,61.2,56.0,1601,5.23,5.26,3.21
180,0.91,Good,D,64.7,57.0,3763,6.02,6.04,3.9
181,0.38,Ideal,G,62.1,54.5,768,4.64,4.69,2.9
182,0.72,Ideal,E,61.9,55.0,3283,5.74,5.77,3.56
183,0.9,Very Good,F,61.8,60.0,3803,6.13,6.14,3.79
184,0.53,Premium,J,62.7,56.0,1093,5.18,5.15,3.24
185,0.72,Ideal,F,62.0,57.0,1743,5.68,5.64,3.51
186,1.14,Good,I,63.3,56.0,5056,6.6,6.68,4.2
187,0.54,Ideal,H,61.3,55.9,1633,5.23,5.27,3.21
188,0.53,Ideal,E,61.4,55.0,1707,5.19,5.24,3.2
189,1.03,Very Good,H,59.9,59.0,5620,6.5,6.52,3.9
190,0.4,Premium,F,60.8,59.0,1088,4.71,4.73,2.87
191,0.9,Good,H,59.0,62.0,3577,6.23,6.27,3.69
192,0.7,Premium,F,61.8,60.0,2818,5.69,5.64,3.5
193,2.02,Good,J,64.4,60.0,10666,7.87,7.93,5.09
194,1.16,Very Good,H,62.8,59.0,5799,6.7,6.64,4.19
195,0.3,Ideal,F,60.8,57.0,873,4.34,4.38,2.65
196,1.05,Ideal,E,60.3,61.0,4714,6.56,6.6,3.97
197,0.32,Premium,F,60.7,58.0,1235,4.4,4.43,2.68
198,0.3,Very Good,G,62.8,58.0,789,4.27,4.3,2.69
199,1.25,Ideal,I,62.5,56.0,6419,6.87,6.92,4.31
200,0.31,Ideal,H,61.5,54.0,518,4.35,4.4,2.69
201,0.3,Good,D,63.8,57.0,709,4.29,4.27,2.73
202,0.36,Premium,I,59.9,59.0,758,4.58,4.63,2.76
203,0.42,Ideal,F,61.1,57.0,1221,4.84,4.82,2.95
204,0.3,Ideal,G,61.7,54.0,764,4.32,4.34,2.67
205,1.18,Premium,J,61.3,60.0,4197,6.78,6.83,4.17
206,0.4,Ideal,G,62.0,56.0,1043,4.73,4.76,2.94
207,1.72,Very Good,I,63.4,57.0,8630,7.6,7.58,4.81
208,1.01,Ideal,F,62.5,54.0,7602,6.46,6.43,4.03
209,0.41,Premium,G,61.8,58.0,1061,4.77,4.75,2.94
210,1.2,Very Good,H,62.9,56.0,6019,6.74,6.8,4.26
211,0.37,Ideal,G,60.5,56.0,926,4.66,4.7,2.83
212,0.9,Fair,I,67.7,61.0,2422,6.04,5.86,4.03
213,0.3,Ideal,D,61.6,57.0,552,4.28,4.32,2.65
214,1.15,Ideal,H,62.4,56.0,6788,6.71,6.65,4.17
215,0.9,Very Good,F,63.4,62.0,3992,6.05,6.0,3.82
216,1.03,Good,F,63.9,59.0,6543,6.35,6.38,4.07
217,1.19,Premium,E,60.2,61.0,3572,6.91,6.87,4.15
218,0.3,Premium,J,62.6,58.0,506,4.32,4.27,2.69
219,0.7,Premium,D,60.9,57.0,2909,5.71,5.69,3.47
220,0.35,Premium,E,60.7,59.0,1044,4.55,4.58,2.77
221,0.53,Premium,D,60.4,58.0,1857,5.23,5.26,3.17
222,0.5,Ideal,F,59.9,56.0,1378,5.36,5.09,3.13
223,0.52,Ideal,E,61.2,56.0,1689,5.16,5.23,3.18
224,1.6,Premium,H,60.0,59.0,12210,7.61,7.58,4.56
225,0.51,Ideal,D,61.7,54.0,1752,5.12,5.15,3.17
226,1.21,Premium,G,62.5,55.0,9757,6.84,6.8,4.26
227,0.52,Very Good,G,62.2,63.0,1736,5.22,5.13,3.22
228,1.01,Premium,H,62.4,58.0,4513,6.41,6.35,3.98
229,0.44,Good,D,58.8,62.0,777,4.97,5.0,2.93
230,0.42,Ideal,G,62.2,54.1,907,4.8,4.83,3.0
231,0.7,Ideal,I,62.3,55.0,2513,5.64,5.7,3.53
232,1.7,Very Good,H,61.9,60.0,12874,7.57,7.61,4.7
233,0.31,Ideal,G,61.4,57.0,772,4.37,4.39,2.68
234,0.33,Very Good,E,63.2,53.0,770,4.42,4.47,2.81
235,0.38,Ideal,F,61.3,56.0,865,4.67,4.7,2.87
236,2.03,Ideal,H,60.8,57.0,17864,8.18,8.24,4.99
237,0.83,Ideal,E,61.8,57.0,3625,6.04,6.03,3.73
238,0.53,Ideal,D,62.3,56.0,1566,5.15,5.18,3.22
239,0.91,Ideal,E,61.5,56.0,3898,6.23,6.2,3.82
240,2.51,Ideal,H,62.0,57.0,17162,8.72,8.67,5.39
241,0.7,Good,D,63.2,60.0,3087,5.56,5.61,3.53
242,1.67,Ideal,I,61.6,59.0,11975,7.64,7.61,4.7
243,0.23,Very Good,D,62.5,58.0,530,3.92,3.95,2.46
244,0.44,Premium,I,61.5,57.0,1063,4.92,4.87,3.01
245,2.01,Ideal,G,61.5,55.0,11602,8.15,8.11,5.0
246,0.33,Premium,H,61.7,59.0,1010,4.45,4.43,2.74
247,0.39,Very Good,E,60.0,59.0,900,4.76,4.8,2.87
248,1.11,Premium,I,61.2,61.0,4028,6.69,6.65,4.08
249,0.3,Ideal,G,61.7,55.0,1013,4.34,4.32,2.67
250,2.04,Very Good,H,60.0,60.0,16319,8.21,8.17,4.91
251,1.51,Very Good,E,60.6,58.0,8916,7.41,7.43,4.5
252,0.9,Very Good,D,63.3,59.0,4981,6.12,6.17,3.89
253,0.56,Ideal,I,62.2,57.0,1417,5.27,5.28,3.28
254,0.74,Very Good,E,61.3,58.0,3009,5.8,5.84,3.57
255,2.01,Fair,G,56.2,63.0,12450,8.28,8.23,4.64
256,1.0,Premium,F,60.4,58.0,3858,6.47,6.44,3.9
257,0.72,Ideal,E,62.1,56.0,4285,5.72,5.77,3.57
258,0.56,Ideal,H,60.4,57.0,2157,5.35,5.39,3.24
259,0.81,Ideal,F,62.6,55.0,2795,5.92,5.96,3.72
260,0.42,Premium,G,62.4,59.0,984,4.8,4.78,2.99
261,0.7,Ideal,D,62.2,56.0,3535,5.69,5.72,3.55
262,0.31,Ideal,F,60.8,57.0,802,4.39,4.36,2.66
263,0.3,Premium,D,62.9,61.0,911,4.29,4.27,2.69
264,0.3,Ideal,H,61.6,57.0,526,4.3,4.33,2.66
265,1.52,Premium,D,59.8,60.0,10623,7.5,7.42,4.46
266,0.31,Good,H,63.6,55.0,698,4.32,4.29,2.74
267,0.67,Very Good,G,61.7,59.7,2131,5.56,5.61,3.45
268,0.71,Ideal,F,62.1,54.0,2365,5.73,5.76,3.57
269,1.01,Very Good,I,62.8,58.0,3888,6.37,6.4,4.01
270,1.01,Ideal,D,60.5,57.0,4837,6.53,6.6,3.97
271,0.33,Very Good,G,61.1,59.0,492,4.42,4.45,2.71
272,1.34,Premium,J,62.6,58.0,5778,7.08,7.01,4.41
273,0.6,Ideal,E,61.3,56.0,1890,5.49,5.44,3.35
274,0.7,Very Good,G,58.2,63.0,1966,5.82,5.79,3.38
275,1.2,Premium,H,59.6,60.0,4906,6.91,6.84,4.1
276,1.07,Very Good,H,61.8,63.0,3296,6.57,6.47,4.03
277,0.48,Ideal,H,62.2,54.0,1026,5.04,5.05,3.14
278,0.51,Ideal,E,62.4,57.0,1656,5.1,5.13,3.19
279,0.3,Premium,F,61.8,60.0,673,4.3,4.27,2.65
280,0.35,Ideal,D,61.0,55.0,1303,4.62,4.59,2.81
281,0.31,Ideal,D,62.3,54.0,949,4.36,4.4,2.73
282,0.72,Good,D,63.1,55.0,2757,5.69,5.75,3.61
283,0.51,Ideal,I,62.1,55.0,1277,5.1,5.13,3.17
284,0.71,Ideal,F,62.2,56.0,2915,5.74,5.71,3.56
285,0.56,Ideal,J,61.7,54.0,1094,5.31,5.36,3.29
286,0.73,Premium,I,59.7,59.0,2246,5.81,5.94,3.51
287,0.31,Good,H,64.0,59.0,539,4.25,4.28,2.73
288,0.41,Ideal,F,61.4,56.0,824,4.77,4.8,2.94
289,0.77,Premium,D,59.4,59.0,3966,6.0,5.96,3.55
290,1.86,Very Good,H,58.6,62.0,17267,8.07,8.14,4.75
291,0.4,Premium,F,62.2,59.0,1163,4.7,4.65,2.91
292,0.66,Good,G,61.6,61.0,2139,5.56,5.63,3.43
293,1.16,Premium,F,60.4,60.0,10809,6.9,6.77,4.13
294,0.94,Premium,E,60.0,58.0,4580,6.44,6.37,3.84
295,1.52,Good,F,58.2,60.0,9028,7.52,7.63,4.41
296,0.42,Ideal,H,62.4,56.0,921,4.78,4.8,2.99
297,0.32,Ideal,G,61.7,55.0,828,4.41,4.37,2.71
298,0.43,Ideal,G,61.5,56.0,1118,4.87,4.89,3.0
299,1.7,Ideal,I,60.4,58.0,10967,7.73,7.67,4.65
300,0.39,Ideal,F,60.0,57.0,821,4.7,4.76,2.84
301,0.3,Ideal,E,61.9,57.0,675,4.33,4.29,2.67
302,1.2,Premium,J,61.5,59.0,4657,6.84,6.81,4.2
303,0.34,Ideal,D,60.3,56.0,998,4.53,4.56,2.74
304,0.41,Premium,E,60.1,60.0,755,4.79,4.83,2.89
305,0.43,Good,F,57.9,61.0,931,4.99,5.03,2.9
306,1.5,Good,G,63.8,58.0,13720,7.21,7.12,4.57
307,0.71,Very Good,I,60.0,56.0,2502,5.86,5.83,3.51
308,1.5,Very Good,D,62.4,59.0,13287,7.21,7.27,4.52
309,1.71,Very Good,J,61.2,59.0,9707,7.65,7.72,4.7
310,1.06,Premium,G,61.9,60.0,4571,6.53,6.52,4.04
311,2.51,Premium,J,59.3,58.0,16427,8.87,8.83,5.25
312,0.43,Ideal,F,61.8,56.0,792,4.84,4.87,3.0
313,1.02,Premium,F,61.4,59.0,6238,6.48,6.42,3.96
314,0.79,Ideal,D,61.5,56.0,2846,5.96,5.91,3.65
315,0.42,Ideal,F,61.9,57.0,1031,4.79,4.81,2.97
316,1.51,Fair,I,64.8,60.0,8879,7.18,7.1,4.63
317,0.51,Very Good,F,60.6,60.0,1601,5.18,5.22,3.15
318,1.53,Ideal,F,61.6,56.0,12109,7.39,7.34,4.54
319,2.01,Ideal,H,61.9,57.0,17403,8.14,8.05,5.01
320,0.4,Ideal,G,61.3,55.0,1125,4.78,4.75,2.92
321,0.5,Ideal,D,60.7,57.0,2376,5.2,5.15,3.14
322,0.35,Ideal,F,60.5,57.0,706,4.52,4.6,2.76
323,0.32,Ideal,F,60.8,58.0,837,4.39,4.43,2.68
324,0.41,Good,D,63.1,59.0,791,4.7,4.71,2.97
325,0.9,Good,I,63.7,61.0,3246,6.1,6.06,3.87
326,0.95,Premium,G,59.8,60.0,3181,6.36,6.34,3.8
327,0.31,Very Good,D,62.9,54.0,462,4.3,4.35,2.72
328,1.33,Ideal,G,62.6,57.0,12209,7.04,6.99,4.39
329,2.15,Premium,G,59.7,60.0,13317,8.4,8.37,5.01
330,1.3,Very Good,F,61.5,58.0,7567,6.99,7.06,4.32
331,1.06,Ideal,F,60.7,57.0,4568,6.57,6.61,4.0
332,0.32,Very Good,H,61.7,61.0,561,4.38,4.43,2.72
333,1.73,Premium,F,61.5,60.0,9494,7.75,7.66,4.74
334,0.52,Ideal,D,61.8,55.0,1822,5.16,5.19,3.2
335,0.43,Premium,G,62.3,59.0,1264,4.83,4.77,2.99
336,0.58,Premium,G,59.9,58.0,2071,5.49,5.37,3.25
337,1.0,Very Good,D,61.4,63.0,6040,6.35,6.41,3.92
338,0.32,Ideal,G,61.5,57.0,561,4.4,4.41,2.71
339,0.61,Very Good,D,61.5,57.0,2266,5.45,5.48,3.36
340,0.49,Premium,G,62.5,58.0,1026,5.03,4.98,3.13
341,0.4,Premium,D,62.5,59.0,982,4.66,4.72,2.93
342,1.58,Ideal,H,61.4,56.0,13397,7.49,7.52,4.61
343,0.3,Very Good,E,62.4,56.0,658,4.25,4.28,2.66
344,1.07,Premium,H,62.4,59.0,5498,6.53,6.46,4.05
345,0.4,Premium,E,59.3,59.0,975,4.81,4.77,2.84
346,1.5,Very Good,E,60.1,60.0,9281,7.35,7.42,4.44
347,0.7,Ideal,G,62.7,54.0,2723,5.66,5.7,3.56
348,1.02,Premium,F,61.9,58.0,7351,6.45,6.5,4.01
349,0.52,Premium,F,58.6,61.0,1338,5.3,5.28,3.1
350,0.33,Ideal,E,60.0,57.0,625,4.47,4.5,2.69
351,0.83,Very Good,F,61.9,58.0,3322,5.97,6.01,3.71
352,2.0,Very Good,H,62.6,56.0,15446,7.98,8.09,5.03
353,0.51,Ideal,D,62.5,55.0,1359,5.15,5.12,3.21
354,1.03,Ideal,J,61.6,57.0,4283,6.52,6.47,4.0
355,1.01,Very Good,D,58.1,61.0,5055,6.59,6.66,3.85
356,1.08,Premium,F,62.1,58.0,4953,6.61,6.57,4.09
357,1.08,Ideal,G,61.9,57.0,4627,6.57,6.55,4.06
358,1.26,Ideal,G,61.3,57.0,7230,6.94,6.99,4.27
359,0.3,Ideal,F,62.2,54.2,499,4.31,4.34,2.69
360,0.53,Very Good,G,60.1,59.0,1449,5.22,5.26,3.15
361,0.41,Ideal,E,61.7,57.0,1153,4.8,4.76,2.95
362,1.12,Ideal,G,62.2,56.0,7827,6.71,6.67,4.16
363,0.31,Ideal,D,62.1,54.0,934,4.34,4.36,2.7
364,0.74,Very Good,F,63.1,58.0,1909,5.76,5.72,3.62
365,0.56,Very Good,F,62.0,56.0,1614,5.2,5.22,3.23
366,0.9,Premium,F,62.6,60.0,4103,6.11,6.06,3.81
367,1.2,Very Good,H,62.5,59.0,6019,6.66,6.72,4.18
368,1.31,Very Good,J,61.8,59.0,5100,6.96,7.02,4.32
369,1.29,Ideal,H,62.1,57.0,5926,6.95,6.93,4.31
370,1.5,Ideal,G,63.0,56.0,12821,7.32,7.26,4.59
371,0.31,Good,G,63.4,59.0,707,4.26,4.29,2.71
372,0.73,Fair,D,65.5,60.0,2147,5.64,5.54,3.66
373,0.82,Ideal,I,61.3,57.0,3113,6.02,6.07,3.7
374,0.42,Ideal,D,61.4,56.0,1103,4.84,4.8,2.96
375,1.2,Premium,G,62.4,58.0,5846,6.77,6.73,4.21
376,1.23,Very Good,G,62.0,58.0,9803,6.77,6.82,4.21
377,1.0,Very Good,I,60.7,59.0,4080,6.4,6.46,3.9
378,1.01,Premium,H,61.8,59.0,5204,6.38,6.33,3.93
379,0.33,Ideal,F,61.6,56.0,666,4.44,4.46,2.74
380,0.34,Premium,G,61.6,60.0,765,4.49,4.47,2.76
381,0.71,Premium,J,62.4,61.0,1690,5.68,5.63,3.53
382,0.7,Premium,F,60.8,58.0,2415,5.78,5.74,3.5
383,1.5,Ideal,J,60.0,57.0,7503,7.45,7.36,4.44
384,0.9,Very Good,D,61.2,54.0,3975,6.25,6.29,3.84
385,1.02,Very Good,G,62.9,59.0,4291,6.38,6.4,4.02
386,0.33,Premium,G,61.8,59.0,854,4.45,4.39,2.73
387,0.5,Ideal,E,59.7,62.0,1331,5.16,5.19,3.09
388,0.72,Premium,J,61.7,58.0,2043,5.77,5.67,3.53
389,0.35,Very Good,F,61.0,55.0,590,4.6,4.63,2.81
390,0.51,Ideal,F,61.1,56.0,1139,5.18,5.21,3.17
391,1.18,Ideal,E,60.9,57.0,6328,6.86,6.89,4.19
392,0.39,Ideal,E,61.9,55.0,1034,4.7,4.73,2.92
393,0.39,Very Good,F,58.2,62.0,1117,4.77,4.82,2.79
394,1.01,Very Good,G,63.2,55.0,5701,6.39,6.34,4.02
